review,is_positive
 Only one person was at the reception had to wait around 8 11mins to be spoken to location is the middle of a dual carriage ,0
 9 50 for a Bailey s seems a little pricey ,0
 Semi transparent wall of bathroom It cause uncomfortable when you travel with friends,0
 This Four Seasons does NOT compare to the other Four Seasons we ve stayed at It s almost like it s a lower end franchise of the real Four Seasons Furnishings and overall accommodations and services are well below par as compared to other Four Seasons ,0
 I would have loved to have a room facing the Eiffel tower,0
 The lobby is kind of small and the reception counter is always busy ,0
 Basement room is totally affected by the smells of the surroundings ktichens and services located in the building ,0
 Laundry is very expensive and wifi is not free,0
 Small rooms,0
 The size of the swimming pool it was more of a plunge pool ,0
 Rude staff on arrival Our room was not ready on arrival at 8pm even though we were able to check in from 3pm ,0
 Air conditioning in the room is not powerful enough and the room gets very hot during a hot day over 25 C ,0
 Cleaners perhaps need to pay a little more attention to detail,0
 The bed lost its firmness in the middle a new one makes this room perfect ,0
 Wish the rooms were not so tiny ,0
 15 mins walk to the nearest metro,0
 Same breakfast everyday,0
 Loved it all,0
 No Scrambled Eggs or Bacon at breakfast ,0
 Outdated hotel and rooms not all personnel speaks English fluently Once my room smell like cigarettes after cleaning,0
 I couldn t find the hotel using my sat nav If i typed the postcode i ended up somewhere else close by but no outside the hotel Took us a while to find the hotel ,0
 felt a bit pressurised by housekeepers to vacate by 11 Sunday ,0
 More electrical outlets and a mirror around one of the outlets eg for use with the hairdryer,0
 The reception clerks English was too Bad to understand My room was bed only I was asked if I want breakfast so I said tomorrow yes the day after I l see so I was asked for my credit card and was informed that they want a 30 pound deposit and when I leave I will get Mack any money still due This never happened to me in any hotel in the world Especially as I showed my Priotity holiday card When I asked for a newspaper I was told tha I can only get the independent free any other I will be charged The room was small and there was no easy chair so I could relax I spoke to the duty manager and complained He promised to give me better service when I return This I m writing to you for your sake and others that will come here ,0
 The staff That is the most important thing in a hotel or at least in a luxury hotel I m still waiting for something I asked them They said they will call me back and I m still waiting,0
 Photos didn t match the room that I had,0
 Staf,0
 Good be in a better maintenance ,0
 Small elevator only but not a big deal,0
 Not so clean rooms we had aunts in the room not so clean bathroom very small space for bathroom separated from the shower and bathtub no ventilation very user furniture The so called free wifi is not working in the room only at the reception ,0
 At breakfast the staff wouldn t let me move a small table so I could sit with my colleagues Fresh fruit salad would have been nice instead of tinned fruit ,0
 Noticed the cups in my bathroom had not been changed making me question how thoroughly the room had been cleaned ,0
 The bed was a little uncomfortable for me but my wife liked it just fine ,0
 I did request a high level room with amazing views as I have stayed there before but the room was low level with lots of road noise and a very very large mechanical crain outside our window,0
 The cleaning of the rooms was problematic We were away from the room until 16 00 and the room was not cleaned until then and after they would clean around 17 00 so if you were at the room at the time you would miss the cleaning service for a day If they did clean always forgot to add the paper and the amenities The Indian receptionist was not friendly at all at the limit of being rude ,0
 The rooms are a little dated However the price is a great value You have lovely staff and great space ,0
 The hotel is dated the condition of the common areas is poor The carpet are worn stained and dirty The carpet in the rooms are in a similar condition On the day night of my stay there was no hot water and no effort was made to inform guest of this problem The air conditioning unit in my room was not working and requires a service I have stayed in the hotel on a number of occasions over the past 24 months I have noticed a gradual detrrioration of the rooms and common areas over this time It is not value for money any more ,0
 there is no iron in the room and when I called they said no we don t put iron in the room for safty purposes we iron it and its charged where other hotels they have in the room and its free ,0
 No parking on location A bit of a walk but not to bad Hotel is only on top 2 floors of the building kind of threw us off Great hotel can t complain Maybe a tad pricey but it s in the capital ,0
 5 charge to deliver room service AND limited choice after 11pm We would have liked cheese biscuits but it wasn t available after 11pm but cooked items were It didn t seem to make sense ,0
 Restaurant food not tasty ,0
 Non functional ac,0
 The Liverpool Fans just joking ,0
 The breakfast is overpriced I understand that 4 5 star hotels usually have a pricier buffet however there weren t many options available Also you can notice the hotel has received a facelift the decor is not fantastic ,0
 the workers who work in the dining place are not that kind ,0
 For us was far for the centre but well connected with public transport,0
 paper thin walls prefab Can hear everything happening in the rooms next door ,0
 Breakfast plenty of choice but the fruit was tinned and the pantry range was not of the best quality The bedroom was very hot but luckily we could open a window,0
 room was small with hardly any space to hang clothes,0
 Local restaurants a bit limited but many more only a couple of metro stops away ,0
 Staff at the breakfast buffet,0
 The bed was a bit too hard for me I think there was perfume in the air conditioning or used in the room cleaning I have perfume allergy and I did not like the perfume smell in the bedroom But I was able to open the window so that helped The dining room did not open until 7 30pm so I had to wait from 6pm and I was hungry The food prices are not cheap but its similar to other hotels much cheaper to eat outside the hotel,0
 Room was very small We were expecting small but this was even smaller than that Not too much of a problem as we were out and about most of the time ,0
 This hotel is shocking the staff can t speak a word of English and when order room service last night they sent me up cold chilli without no rice after waiting over a 1 hour and then spoke to the duty manager John who said he would refund me the full amount of 10 24 which was find but when I check this morning the hotel not given me a refund they have taken out 17 50 what a jock I want a full refund for the 17 50 please the stay off 199 00 because the service was shocking,0
 The air conditioning did not work well in the first room we were assigned to As well as not cooling effectively the fan was directly above the head of the bed making it very noisy After our first night we were moved to an outside room on the back of the hotel where the air conditioned worked better and the fan was further away from the bed Also the interior room did not have an outside window so it felt very confining ,0
 Staff are not friendly,0
 Breakfast uncomfy bed puzzled staff,0
 Restricted space in the night club on the top floor even for hotel guests was not appreciated,0
 Very dirty with fungus on the ceiling in the bathroom ,0
 I booked via booking com and specified that I would like to pay via cash on check out which I was told would be fine at the hotel However on check out the payment was taken from my card nonetheless I had left my card details as security ,0
 The shower and spa area,0
 The card to open the door didn t work three different times,0
 Edges along landing and furniture very dusty housekeeping could be better,0
 our room was too hot the hotel switched into winter schedule and turned off the air conditioner That s the answer I got after complaining about the room temperature They told me to open the window ,0
 Not enough cartons of milk in the room to use with the nespresso machine and a room service charge of over 3 if you ask for more ,0
 The free upgrade was amazing however I would of been super happy with the perfect London view from our room instead Just me been awkward ,0
 Air con in room could be better Also nobody answered when calling for room service numerous times ,0
 toilet seat in the bathroom squashed in a very tight corner not comfortable ,0
 The fire alarm kept going off and I could not use the bathroom because it was too small,0
 Confusion over rate change by receptionist however supervisor quickly and efficiently dealt with the problem ,0
 No room service,0
 The staff is absolutely unfriendly They are so cold that it makes you feel embarrassed in any interaction all the time The friendly ones always seem to be overloaded with the work to be done We ve ordered two glasses of Cava in the swimming pool and half hour later we needed to cancel the order as they haven t been served Although the hotel is classified as a 5 stars GL this doesn t reflect the reality there s an aim of looking like sumptuous and definitely there s beauty everywhere but they are so far away of providing high levels of service that I do NOT recommend it at all I know Barcelona by heart and there are plenty of much much better staying options ,0
 One of the worst places we have ever stayed for sure I have travelled all around the world but this place for sure deserves to be entitled campsite They are under staffed and over loaded You ask for some ice and get charged 5 Euros even for delivering food to your room they charged you 5 They don t change the bedsheets and pillow case assuming that you would not find out They just turn them around and use the same dirty sheets The location of the hotel is awfull where you seriously fear for your life if you want to go out after 8 pm Even taxi drivers refuse to drop you off there Honestly there is no management at all Btw your breakfast was awful and the same Sh every day I will never ever stay at your awful place again and not even recommend your campsite to my enemies For the people from some countries your campsite may look alright but let s face it you are not even close to being fine ,0
 All good,0
 The wifi wasn t too great unfortunately ,0
 Really small room Almost like an attic ,0
 Every aspect of our stay was good or better ,0
 Breakfast seemed very expensive so we opted not to take it in hotel,0
 Rooms were not allocated correctly,0
 Rooms were no where near the standard of the lobby which was disappointing ,0
 Mattress very firm,0
 Sky bar drinks are expensive that s all I can say But it s London so can t really say much ,0
 maybe shuttle bus transfer for ppl with extra luggages,0
 Parking should be free,0
 Very hot even with open window near a boiler maybe room 207 AC did not work Hole in the ceiling above the shower a bit unnerving 2x single beds connected instead of full bed ,0
 Rips on edges of duvet cover no big light in room side lamp didn t work Surface crack in sink,0
 The bathroom door was a modern sliding glass door which didn t make the bathroom as private as it could have been ,0
 Pretty happy really ,0
 Small rooms,0
 The room was small and the bathroom was tiny ,0
 price,0
 Poor lighting for applying makeup,0
 My baby with me ,0
 Breakfast was a bit grim cold not very well presented The single room was very single ,0
 Can t think of anything,0
 Bar snacks x dreadful and extortionate,0
 Poor Wifi Old mattress The Shower was clogged ,0
 The room was dusty in places and the glasses were dirty the shower water went everywhere which was dangerous for me and my partner The view was a disappointment considering the amount of money I paid for the reservation room The reason I booked the hotel was for the view advertised on the website Very unsatified with my stay I ve stayed in Cardiff park plaza and it was unbelievablely clean and worth the money ,0
 Water only just lukewarm not hot enough for bath shower Took payment in advance when should have been pay on arrival,0
 Elevator only goes to 3rd floor No luggage to room service on arrival Shower head was old and splashed a bit Breakfast was a bit small,0
 Didn t think that the buffet breakfast was that good for the cost,0
 Our double room with two double beds although comfortable enough for 3 of us was rather too small when taking into account the large occasional table and armchair sqeezed in between the bed and the window The furniture and the room itself looked rather tired and dated and could do with an up date ,0
 restaurant was only for breakfast and very expensive,0
 a Most receptionists never acknowledged guests on their way in and out but kept head low or on computer screen Eye contact and greetings make a difference b I would add some pastries for breakfast like croissants ,0
 Staff was unfriendly,0
 The room was cold and the bathroom heater was broken No refund or discount when asked They offered other rooms but they were no better and colder ,0
 Poor Wifi connection No more than one device can be connected Frequent dropping of signals Room Fridge was not cooling at all ,0
 Small room ,0
 The chef was terrible disgusting food Although set ok was beautiful Wasted 62 50 on the worst cuisine ever Other than that I can t complain much however I thought the staff were not informative enough No one came and told us about any events and where to go Staff could have been talkative and more approachable Seemed stuck up girls to be honest ,0
 Shower was terrible Hairdryer in room did not work ,0
 The rooms were rather warm and the air conditioning was difficult to adjust as the windows were locked this made it a bit tricky to sleep well ,0
 No parking available at this hotel however another hotel just a five minute walk away did offer paid parking ,0
 1 Too small breakfast area overcrowded nonstop during the breakfast time 2 Poor breakfast eg cucumbers felt as if they were frozen prior to being served no fish no fresh juices 3 No slippers in rooms 4 Asked to clean my room twice they didn t but brought new towels 5 Quite far from the city centre ,0
 Check in process was poor A long wait while one agent dealt with a concierge style request and the other answered the phone The room was very poorly lit with no light at all over the desk or make up table ,0
 All good ,0
 We had initially booked a classic bedroom but only to find out when we arrived that the room was very very small for even 2 people too pricey for classic bedrooom We had to pay extra to upgrade for a superior room of a decent size If I had known the size of the classic bedroom I wouldn t have booked it at all The photos of the classic bedroom you find here is not realistic I was really disappointed The other issue was the hotel is undergoing renovation and we weren t informed about this There is no breakfast room available Our total price for the 3 nights stay was 700 Euros which is too pricey for this hotel ,0
 Swimming pool was cold Breakfast could have had more variety Bedroom was on the small side,0
 Loved everything,0
 Room service,0
 The tiles in the shower had been painted over and it was peeling extensively which looked horrible There was also a shower over the bath which was up to the standard of the rest of the room ,0
 Paying for Wi Fi Outside Windows still need cleaning this detracts from some stunning views,0
 Air conditioning did not work and hot in the room,0
 In the area around the hotel there was nowhere open for breakfast at all When we asked why its because it is mainly a commuter working area so we ended up not being able to get any breakfast not the Apex hotels fault may I add Advice would be if you have plans near the hotel definitely book breakfast at the Apex The concierge was also a little rude and unhelpful Not a big issue nor is that the hotels fault ,0
 Room on the smaller side,0
 Breakfast could use more variety Our superior double room opens to the terrace which was a slight discomfort in this cold weather ,0
 Almost no shopping possibility in and around ,0
 Parking charges could be a bit reasonable,0
 The Shower needed updating but adequate enough,0
 Expensive bar,0
 My room had a door to the adjacent room which was not properly soundproofed So when a next door visitor started to speak over the telephone at 5 AM I could literally hear every word ,0
 The last day elevator was not working I had to carry my suite case from 6th floor ,0
 swipe cards were occasionally faulty and had to be replaced twice,0
 Blanlets pillows were heavily smelling medicine odor We claimed but new blankets pillows were given a day after we had to suffer one night as there was no other room available blankets pillows can not be changed with clean ones as room service was closed after 8pm ,0
 The hotel does not yet seem to have the right facilities to offer good food via room service so best is to find a restaurant nearby if you want a meal ,0
 Actually for once I though cooked breakfast was pretty poor Sloppy scrambled eggs sausage not nice wife s bacon very fatty Really wasn t very nice First time and I ve stayed there a few times ,0
 The breakfast and room service menus need to be modernised with more healthy options,0
 TV programmes did not include any russian channel ,0
 We had problem with the room phone and requested the hotel staff to come and fix it until we checked out after 5 days the phone was not fixed ,0
 I feel the room could have been cleaner in places,0
 The location is not fantastic a bit in the middle of nowhere but then the price and the hotel quality makes up for it so I would stay again at the right price Most days it was not a big problem there was a taxi outside which costs around 10 euros to get to the centre but on Saturday night there was not one in the vicinity apparently there are less taxis working on weekends Ended up walking to the tube which took about 15 through dark and slightly shabby roads Taxi took around 15 25 mins depending on traffic The bar closes early at 11 30 pm and there is nowhere else nearby ,0
 Slight noise form the Metro that seems to run underneath the Hotel almost continual rumble starting from about 05 00 It s not too intrusive but did wake me a couple of times It would not put me off from staying again though ,0
 Poor noise insulation very loud from other hotel rooms and from the street We were moved to a higher floor after complaining where it was slightly better Breakfast was rather lacking the pancakes were not good and fruit low quality ,0
 Didn find ,0
 If I was being really the lighting in the main bedroom was either high level and too bright or low level and too dull I would like fresh milk in the room ,0
 Bathroom didn t have much counter space but worked around it,0
 Quite expensive ,0
 On one day we went out in the morning and came back around 4pm and our room was still not cleaned We had to leave for 30min for cleaning The following day we didn t get clean cups which was really disappointing as we enjoy a cup of tea or two every night Other than that the hotel is very clean just a few missing finer details ,0
 The room was small No shower cap in the bath ,0
 The shower temperature was a little awkward to control and maintain The mattress on the double bed was smaller than the base and seemed to be not quite double sized ,0
 No faults found ,0
 My room had a really strong smell of polish that wouldn t go away and hairs in the bath,0
 Size of the room Slightly small than expected ,0
 Tiny tiny issue as most of the room was spotless there was a little dust in a few areas of the room and the bath tub had a stray hair I cant say the room wasn t cleaned as it was evidently done but a little attention to detail would have made this visit perfect ,0
 Food bricfast poor,0
 Breakfast on the Sunday morning as we had to wait over 20 mins for a table they had a wedding party in the day before and all their rooms were full and they could not handle a full hotel they should have opened the room up for breakfast that they had the wedding in,0
 In the past if I ve booked a docklands hotel it s usually walking distance from Canary Wharf I booked this hotel in error this hotel should be titled Hilton Surrey quays not Hilton docklands as this was misleading Our taxi driver which cost us a fortune as the boat was on a break said a lot of people make the same mistake On arrival the reception had no record of our booking luckily I had my paperwork and email on me however they had no record of me bringing my children even though I remember I had to input their ages when I made the booking To be fair the hotel rectified this and put my husband kids and I in a very spacious 2 bedroom suite My parents however mum was celebrating her 60th birthday were put in a tiny room overlooking the carpark and was kept awake till 3am with crowds leaving the hotel and car doors slamming Lesson learnt Read the address of this hotel don t just look at the title and assume ,0
 Air conditioning wasn t very good Couldn t get stereo to work ,0
 Staff not always at reception and had to wait a while to be seen ,0
 Size of rooms is small The cloth closet is not enough,0
 They didn t serve alcohol as they didn t have a licence we were not told previously and on our last day the restaurant closed for no reason ,0
 The carpets in the passages were old and decrepid Staff were nice and helpful,0
 No taxis pass by The price was a little high considering the location The room was very nice but the furniture was a little scuffed the desk notably ,0
 Service cleaning enter in the room I ask for a late check out they told me yes and they start to call every 15 minutes to leave the room Breakfast they don t permitted to take a breakfast and finish in the room The internet is not the best People form the reception are not so friendly and they have problem to talk in english ,0
 The ground floor room G5 was pokey and oddly shaped and facing on to Gower St at ground level it was really noisy The UCL Hospital is just up the road and while it is comforting to be close to such a centre of excellence the noise and frequency of emergency ambulances going past was a bummer ,0
 My only issue with the hotel was that the rooms windows are kept locked under key due to safety laws so it s understandable and if you want them opened closed you have to contact somebody at the reception each time Also the trams outside are very easy to be heard from inside the rooms,0
 Facility was going through a renovation which was not announced during the time of booking otherwise I might have gone elsewhere The place was a bit noisy due to the renovation Plumbing was old but functional The bathroom sink had separate hot and cold faucets Made it difficult to wash your face without having to fill the sink Some lights in the room did not work Very limited room service menu,0
 The room was not being cleaned according to our expectations The cups were not washed and left in the sink and the next day we were given a broken cup ,0
 Breakfast the corridors to rooms were dark and dingy Bathrooms old and in need of revamp,0
 Breakfast a little bit basic ,0
 Rooms a little small,0
 The rooms are quite small ,0
 Basically the hotel is a set of residential apartments within a residential block altered to be Hotel rooms The only shared accommodation is a check in and small breakfast area two floors above Rooms are small and not ones that you would spend any time in Seemed expensive for what we got but I guess all Hotels in Amsterdam are expensive No bikes available for hire but a hire shop just down the road ,0
 The food was very poor we had to send it back twice it was awful,0
 small missunderstanding with stuff but at the end everything turn out OK,0
 AC was a bit hard to set room was sometimes cold but not really important ,0
 Rooms are quite small for more than 1 person Also rooms in higher category do not offer more space that the standard room ,0
 Bed was very hard but that s just my opinion some people probably thought it was ok,0
 adjoining room door in room locked was noisy felt like they were in the room,0
 Priset,0
 There was a girl working in the restaurant and we asked her a few things about the dessert but she didn t know alot The staff that evening didn t walk by our table once and when they did they didn t take our plates The staff the next day though was more experienced and very outgoing So our dinner of the night before was immediately forgotten and we had a great night at your restaurant ,0
 No negatives ,0
 Lifts were very slow to come especially at peak times and there were queues for breakfast and checkout ,0
 Expensive for what it is some tiles damaged in the bathroom and the room is just big enough to have the double bed in it The channels on the tv are wrong not in the normal order like you are aboard trying to watch tv ,0
 Upon arrival bathroom floor was full of long hairs so room had not been checked properly by housekeeper,0
 having to climb up 4 flights of stairsconvenient,0
 Room service didn t clean my room tow days,0
 The shower did not drain properly and the bathroom floor would be completely wet after taking a shower The shower door seal was faulty ,0
 Ice machine on the corridor was not working Like all the meals I had anywhere in Barcelona the food was quite salty,0
 one day of our stay in the hotel the house keeping didnt clean our room but over all every thing was perfact,0
 The concierge did not book the taxi we asked for so we missed the start of our show on the West end The staff at breakfast were hopeless so we ate breakfast out of the hotel on our second morning ,0
 The restaurant restaurant staff food service time and limited menu does not fit with hotel s general quality ,0
 Mark on bottom sheet single beds pushed together other wise very good thought it was over priced but the pound is not doing well against the euro great staff very helpful,0
 The room was so tiny was hard to open the door if you wanted to open the bathroom door Barely enough room for one piece of luggage on the floor Not sure how this is a 4 star ,0
 It s a bit noisy but that s due to where it is close to bars late night shops etc Didn t bother me but it s something to be aware of ,0
 small rooms,0
 I did not like all the little add on charges and thought the breakfast option at 13 95 each plus an extra 2 if you had not already pre booked even if you wanted to pay cash was excessive Quote the rooms do not have awful coffee sachets but there is a constant supply of fresh coffee in the canteen coffee in sachets in the room is free Coffee in the canteen is not ,0
 There aren t many restaurants and bars nearby although it s only a relatively short walk to La Ramblas and the centre of Barcelona The tables at the buffet breakfast were a little slow in being cleared up by the staff so clean cutlery was in short supply on the morning of our breakfast Overall though I found this hotel excellent,0
 The reception wasn t anything I was expecting would have been nice if it was modern Just little out dated Also the wifi was very slow didn t seem to work very well ,0
 The room view of scaffolding,0
 The green light on the fire alarm,0
 I couldn t get hotel Wi Fi to connect with my laptop and had to use my cellphone for a hot spot Could be my technical problem Very limited availability of restaurants You You need to go to City Center,0
 The weather ,0
 The first night the fire alarm woke me up at 2 and 5 am because of someone smoking the second day they forgot to wake me up and I nearly missed the eurostar,0
 location just a bit out of historic centre of Vienna,0
 Room on small side though we were warned of this But good use of space good bathroom But overpriced despite good location,0
 Room a bit dark,0
 Stairs as an option to only ONE elevator Hotel rooms are on top floor ,0
 Most uncomfortable night ever spent in hotel bed and pillows so hard Room was tiny not worth the price paid Room very noisy you definitely knew when a tube was going underneath,0
 The rooms furnishings and general state of the hotel were all very tired and old fashioned Horrible scratchy toilet paper ,0
 Room was noisy draft coming in from windows heating did not work only a small radiator tv did not work in bathroom li complained the manager came up but could not fix it he then phoned us to say he had left a message with maintenance and if I wanted he would bring us extra covers that was last we heard wanted to speak to a manager in the morning but no manager there what a set up it put a downer on a fantastic day,0
 My booking was cancelled And I was shown a room with no window and mould round the skylight I thought about my health and ask for another room to be provided I also advise the staff that no one should occupy the room until the mould probably is addressed,0
 Unacceptable service and inconsiderate staff,0
 Our original room was not up to scratch very smoky smelling and tired d cor,0
 No complaints very professional establishment ,0
 Not enough choice on the room service menu ,0
 Room was small and over crowded by big old wooden furniture ,0
 Room was very small and pricey ,0
 The shower doesnt have the ability to keep water in prepare extra towels for a slightly wet floor ,0
 building work workmen working outside the bedroom window on scaffolding 2nd floor had to keep curtains closed at all times for privacy,0
 Our room didn t get cleaned on onne of the days during our stay informed staff and they confirmed they were busy Works going on during our stay but didn t inform us until we entered our room via letter ,0
 the breakfast Buffett was very small it s better to call it snack buffett ,0
 No subway stations close from hotel Just overground ,0
 The room was very small and cramped ,0
 The breakfast was very poor the bacon very hard and overcooked or been kept hot for too long the scrambled egg was tasteless and the porridge was watery,0
 The room was lovely but the bed was so hard both myself and my husband had no sleep and chronic backache the next day ,0
 Price,0
 Room had a big desk which made the rest of if cramped blinking lights in the room at night annoying couldn t open windows,0
 towels,0
 The room service food wasn t as good as i d hoped Pizza base seemed frozen rather than made fresh Breakfast wasn t included More cocktail choice in the rooftop bar ,0
 Some of the staff were really unskilled and obviously not capable to work in a 5 hotel Big headache to get from the ground floor to the towers section changing elevators going through doors and quite a lot of walking ,0
 Pricing is very high particularly for early Spring ,0
 The taxi company that this hotel use are disgusting We had the phone out down on us 6 times Arrogant staff and we was left stranded Hotel don t seem to care but carry on using them Staff aren t that helpful as they are so busy We queued to check in 30 minutes No mention of breakfast or anything ,0
 We had a junior suite with kitchenette Utensils were supplied only on request which was fine but comprised a pretty miserable minimal set ,0
 Not very good shower ,0
 At shower the water isn t drowning and all the bathroom was full of water on the floor ,0
 That woman at desk My husband is diabetic and insulin dependent and needs a refrigerator for his medicine and necessary food otherwise he will die so it s not frivolous We were guaranteed the fridge when we booked 5 months prior but the lady was rude and said there is no fridge and acted as if it was not a necessity We book a week in Aug Sept every year and we have been loyal since we have always been guaranteed a fridge Otherwise we d book elsewhere She said we wouldn t get one and made it seem impossible so I asked for the manager who was actually lovely and got us our fridge Next time I d appreciate some yes we can attitude from the front desk instead of making us feel as if it s a lot to request for someone with a life threatening disease PS the carpet in our room was filthy Wasn t in the new section of hotel ,0
 Small rooms a few faults in room,0
 A bottle of water in the room would be desirable,0
 The place missed the bar experience and the set up is slightly impersonal ,0
 Menu breakfast not included and expensive visit to Gafunkals Cafe 2 min walk was a great alternative ,0
 The milk provided in the fridge had gone off however was replaced straight away The aircon heating system was clicking all night which prevented my husband sleeping ,0
 Checkout was slow when I left Hotel has one reception desk and the customer ahead of me took ages to be served Corridor in the morning was quite loud as I was distrubed by people slaming doors and loud talking shouting Whilst the rooms and reception are very well maintained the corridors leading to the rooms are probably in need of some cosmeric redecoration at least the floor I was on floor 3 None of these criticisms however would put me of staying again which I will soon ,0
 The goons are kind of small but it was perfect for us,0
 We loved everything ,0
 Bar menu was limited,0
 No failings,0
 It was a little tired but clean ie Cracked bath and stained carpets The wifi was poor so had to use the hotels wifi very expensive 5 euro p h ,0
 The room was advertised as a small double and it was truly small ,0
 We specifically asked for a 12 noon book in Confirmed by Booking com We arrived at noon and were told we could not book until 3pm They blamed Booking com Who is to blame ,0
 N a,0
 Building works while there,0
 The staff serving breakfast did not speak English so it was difficult to get allergen free food ,0
 There were a lot of stairs to get to our room at the end of the day although this was offset by being in an very old and lovely building ,0
 No major things,0
 Breakfast was bio and fresh but no eggs cheese was not great 1 choice only and cakes were dried Breakfast wa ok but not great ,0
 Didn t end up with the original hotel we booked and we were meant to have deluxe rooms Which we didn t have,0
 Not child friendly nowhere to get coffees at night staff couldn t be bothered to serve us had meal in oblix staff rushed us so they could have the table back,0
 One small comment I would have loved to be able to make a warm drink in the bedroom during the early hours On my next visit I must make a note to enquire about this ,0
 Despite the stars our room was not very clean staining on the carpet missing bathroom stuff few towels no shower caps tissue not replaced room cleaning staff loudly chatting early in the morning Booked a superior room and being asked to pay additional rate for view Breakfast too expensive therefore has it outside the hotel ,0
 Hard to keep window open Breakfast minimalistic ,0
 None,0
 Tiny room,0
 Small room,0
 The shower was very small so it wasn t comfortable The hotel is quite old with outdated decore ,0
 That my stay was short,0
