,review,is_positive
179, door adjac  properli soundproof next door visitor start speak telephon 5 could liter hear everi word,0
180,last day elev work carri suit case 6th floor,0
181,swipe card occasion faulti replac twice,0
182,blanlet pillow heavili smell medicin odor claim new blanket pillow given day suffer one night  avail blanket pillow chang clean one  servic close 8pm,0
183, yet seem right facil offer good food via  servic best find restaur nearbi want meal,0
184,actual though cook  pretti poor sloppi scrambl egg sausag nice wife bacon fatti realli nice first time stay time,0
185,  servic menu need modernis healthi option,0
186,tv programm includ russian channel,0
187,problem  phone request   come fix check 5 day phone fix,0
188,feel  could cleaner place,0
189, fantast bit middl nowher price  qualiti make would stay right price day big problem taxi outsid cost around 10 euro get centr saturday night one vicin appar less taxi work weekend end walk tube took 15 dark slightli shabbi road taxi took around 15 25 min depend traffic bar close earli 11 30 pm nowher els nearbi,0
190,slight nois form metro seem run underneath  almost continu rumbl start 05 00 intrus wake coupl time would put stay though,0
191,poor nois insul loud   street move higher floor complain slightli better  rather lack pancak good fruit low qualiti,0
192,find,0
193,realli light main  either high level bright low level dull would like fresh milk ,0
194,bath much counter space work around,0
195,quit expens,0
196,one day went morn came back around 4pm  still clean leav 30min clean follow day get clean cup realli disappoint enjoy cup tea two everi night  clean miss finer detail,0
197, small  cap bath,0
198, temperatur littl awkward control maintain mattress doubl  smaller base seem quit doubl size,0
199,fault found,0
200, realli strong smell polish go away hair bath,0
201,size  slightli small expect,0
202,tini tini issu  spotless littl dust area  bath tub stray hair cant say  clean evid done littl attent detail would made visit perfect,0
203,food bricfast poor,0
204, sunday morn wait 20 min tabl wed parti day  full could handl full  open   wed,0
205,past book dockland  usual walk distanc canari wharf book  error  titl hilton surrey quay hilton dockland mislead taxi driver cost us fortun boat break said lot peopl make mistak arriv recept record book luckili paperwork email howev record bring children even though rememb input age made book fair  rectifi put husband kid spaciou 2  suit parent howev mum celebr 60th birthday put tini  overlook carpark kept awak till 3am crowd leav  car door slam lesson learnt read address  look titl assum,0
206,air condit good get stereo work,0
207, alway recept wait seen,0
208,size  small cloth closet enough,0
209,serv alcohol licenc told previous last day restaur close reason,0
210,carpet passag old decrepid  nice help,0
211,taxi pass price littl high consid   nice furnitur littl scuf desk notabl,0
212,servic clean enter  ask late check told ye start call everi 15 minut leav   permit take  finish  internet best peopl form recept friendli problem talk english,0
213,ground floor  g5 pokey oddli shape face gower st ground level realli noisi ucl hospit road comfort close centr excel nois frequenc emerg ambul go past bummer,0
214,issu   window kept lock key due safeti law understand want open close contact somebodi recept time also tram outsid easi heard insid ,0
215,facil go renov announc time book otherwis might gone elsewher place bit noisi due renov plumb old function bath sink separ hot cold faucet made difficult wash face without fill sink light  work limit  servic menu,0
216, clean accord expect cup wash left sink next day given broken cup,0
217, corridor  dark dingi bath old need revamp,0
218, littl bit basic,0
219, littl small,0
220, quit small,0
221,basic  set residenti apart within residenti block alter   share accommod check small  area two floor  small one would spend time seem expens got guess  amsterdam expens bike avail hire hire shop road,0
222,food poor send back twice aw,0
223,small missunderstand stuff end everyth turn ok,0
224,ac bit hard set  sometim cold realli import,0
225, quit small 1 person also  higher categori offer space standard ,0
226, hard opinion peopl probabl thought ok,0
227,adjoin  door  lock noisi felt like ,0
228,priset,0
229,girl work restaur ask thing dessert know alot  even walk tabl take plate  next day though experienc outgo dinner night immedi forgotten great night restaur,0
230,neg,0
231,lift slow come especi peak time queue  checkout,0
232,expens tile damag bath  big enough doubl  channel tv wrong normal order like aboard tri watch tv,0
233,upon arriv bath floor full long hair  check properli housekeep,0
234,climb 4 flight stairsconveni,0
235, servic clean  tow day,0
236, drain properli bath floor would complet wet take   door seal faulti,0
237,ice machin corridor work like meal anywher barcelona food quit salti,0
238,one day stay  hous keep didnt clean  everi thing perfact,0
239,concierg book taxi ask miss start show west end   hopeless ate   second morn,0
240,restaur restaur  food servic time limit menu fit  gener qualiti,0
241,mark bottom sheet singl  push togeth wise good thought price pound well euro great  help,0
242, tini hard open door want open bath door bare enough  one piec luggag floor sure 4 star,0
243,bit noisi due close bar late night shop etc bother someth awar,0
244,small ,0
245,like littl add charg thought  option 13 95 plu extra 2 alreadi pre book even want pay cash excess quot  aw coffe sachet constant suppli fresh coffe canteen coffe sachet  free coffe canteen,0
246,mani restaur bar nearbi although rel short walk la rambla centr barcelona tabl buffet  littl slow clear  clean cutleri short suppli morn  overal though found  excel,0
247,recept anyth expect would nice modern littl date also wifi slow seem work well,0
248, view scaffold,0
249,green light fire alarm,0
250,get  wi fi connect laptop use cellphon hot spot could technic problem limit avail restaur need go citi center,0
251,weather,0
252,first night fire alarm woke 2 5 someon smoke second day forgot wake nearli miss eurostar,0
253, bit histor centr vienna,0
254, small side though warn good use space good bath overpr despit good ,0
255, bit dark,0
256,stair option one elev   top floor,0
257,uncomfort night ever spent   pillow hard  tini worth price paid  noisi definit knew tube go underneath,0
258, furnish gener state  tire old fashion horribl scratchi toilet paper,0
259, noisi draft come window heat work small radiat tv work bath li complain manag came could fix phone us say left messag mainten want would bring us extra cover last heard want speak manag morn manag set put downer fantast day,0
260,book cancel shown  window mould round skylight thought health ask anoth  provid also advis  one occupi  mould probabl address,0
261,unaccept servic inconsider ,0
262,origin  scratch smoki smell tire cor,0
263,complaint profession establish,0
264,enough choic  servic menu,0
265, small crowd big old wooden furnitur,0
266, small pricey,0
267, doesnt abil keep water prepar extra towel slightli wet floor,0
268,build work workmen work outsid  window scaffold 2nd floor keep curtain close time privaci,0
269, get clean onn day stay inform  confirm busi work go stay inform us enter  via letter,0
270, buffett small better call snack buffett,0
271,subway station close  overground,0
272, small cramp,0
273, poor bacon hard overcook kept hot long scrambl egg tasteless porridg wateri,0
274, love  hard husband sleep chronic backach next day,0
275,price,0
276, big desk made rest cramp blink light  night annoy open window,0
277,towel,0
278, servic food good hope pizza base seem frozen rather made fresh  includ cocktail choic rooftop bar,0
279, realli unskil obvious capabl work 5  big headach get ground floor tower section chang elev go door quit lot walk,0
280,price high particularli earli spring,0
281,taxi compani  use disgust phone us 6 time arrog  left strand  seem care carri use  help busi queu check 30 minut mention  anyth,0
282,junior suit kitchenett utensil suppli request fine compris pretti miser minim set,0
283,good ,0
284, water drown bath full water floor,0
285,woman desk husband diabet insulin depend need refriger medicin necessari food otherwis die frivol guarante fridg book 5 month prior ladi rude said fridg act necess book week aug sept everi year loyal sinc alway guarante fridg otherwis book elsewher said get one made seem imposs ask manag actual love got us fridg next time appreci ye attitud front desk instead make us feel lot request someon life threaten diseas ps carpet  filthi new section ,0
286,small  fault ,0
287,bottl water  would desir,0
288,place miss bar experi set slightli imperson,0
289,menu  includ expens visit gafunk cafe 2 min walk great altern,0
290,milk provid fridg gone howev replac straight away aircon heat system click night prevent husband sleep,0
291,checkout slow left  one recept desk custom ahead took age serv corridor morn quit loud distrub peopl slame door loud talk shout whilst  recept well maintain corridor lead  probabl need cosmer redecor least floor floor 3 none critic howev would put stay soon,0
292,goon kind small perfect us,0
293,love everyth,0
294,bar menu limit,0
295,fail,0
296,littl tire clean ie crack bath stain carpet wifi poor use  wifi expens 5 euro p h,0
297, advertis small doubl truli small,0
298,specif ask 12 noon book confirm book com arriv noon told could book 3pm blame book com blame,0
299,n,0
300,build work,0
301, serv  speak english difficult get allergen free food,0
302,lot stair get  end day although offset old love build,0
303,major thing,0
304, bio fresh egg chees great 1 choic cake dri  wa ok great,0
305,end origin  book meant delux ,0
306,child friendli nowher get coffe night  bother serv us meal oblix  rush us could tabl back,0
307,one small comment would love abl make warm drink  earli hour next visit must make note enquir,0
308,despit star  clean stain carpet miss bath stuff towel  cap tissu replac  clean  loudli chat earli morn book superior  ask pay addit rate view  expens therefor outsid ,0
309,hard keep window open  minimalist,0
310,none,0
311,tini ,0
312,small ,0
313, small comfort  quit old outdat decor,0
314,stay short,0
315, includ overpr get,0
316,difficult control temperatur directli ,0
317,person opinion pillow quit high,0
318, well decor big enough coupl like singl  doubl  bother book romant packag welcom packag special  specifi girlfriend arriv made sure got would cava chocol wait actual happen ask wait prepar  forgot coupl hour watch peopl check cava chocol  got ask  said forgot would next day act like difficult tbh cheapest cava could find supermarket believ  standard well littl thing like make big differ one stay one thing ask could arrang book restaur us concierg flat refus told,0
319, readi arriv told would minut took hour half gave went explor poor custom servic,0
320,veiw  poor,0
321,facil old work,0
322,spa good enough 5 star  neither gym  includ provid full english  includ,0
323,light sleep  dim brighter bulb would help ask told boutiqu  want,0
324,small choic food pool bar,0
325,carpet  clean,0
326,air condit work  realli hot kept alway window open luckili yard side  big nois street came,0
327,front desk ladi quit stiff usual friendli receptionist come eastern europ spain give cooki upon check  cramp,0
328,pool heat would nice heat,0
329,everyth good,0
330,access car,0
331, hard  manag quickli fix mattress stiff problem ad thin mattress top work,0
332, comfort,0
333, excel dam squar downsid outsid nois heard lower  night perhap best request higher floor,0
334, industri want walk night,0
335, littl dark,0
336, lumpi  small poorli design drawer put cloth water came tub neighbor empti tub worst part fire alarm went middl night explan apolog offer next day found unprofession fals alarm happen least apolog offer kind explan,0
337,check autom great singl slow group 10 12 tire want get ,0
338,arriv  milk lost insid minibar gust water drink ,0
339, uncortabk  small  small tv feel lot like 4 start  like 2 1,0
340,  inner yard assum street view much nicer arriv late mind,0
341,carveri dinner first night great select hot food hot,0
342,lack park,0
343,terribl  famili  suitabl 2 adult loud window look street close time otherwis much nois come outsid traffic restaur front much overpr current state  refurbish need,0
344,went pool  towel floor chair mayb add sign tell guest put towel done swim mayb  member check swim  everi two hour,0
345,tube run particular weekend made pack buse luckili like walk,0
346, bit far closest tube station,0
347,televis turn air con stuck cold  disgrac  sheet blood,0
348, meet price littl variati food  window toward shaft ventil noisi night saturday night pleasur listen loud music nearbi hous disco,0
349,stay number time standard drop took 45 minut even get drink restaur bar  ignor well close time sprang life hole place feel penni pinch gone far,0
350,good twenti minut walk station cab ten euro time add,0
351,weather warm,0
352,long walk tube station,0
353, bath littl small basin bath small even hand without water splash everywher  basic could bit choos,0
354, luxuri state bath privat enough,0
355,1  decid put hold credit card larg amount includ stay  two day though initi reserv  includ seem inconveni end hassl checkout calcul accur amount credit card hold,0
356,tv bar area,0
357, anem housekeep,0
358,thought recept  could welcom job ok put soul,0
359,die adress ist wrong difficult access auto,0
360, fresh bread quit stale dinner also overpr lack flavour shuttl bu servic alway time better reli public bu wifi constantli disconnect reconnect,0
361, qualiti need improv,0
362, good expens,0
363,one facil list airport shuttl understood mean exist  shuttl bu servic includ  royal one stop one reason choos  turn bu shuttl facil meant taxi could order  end use public transport problem get  feel inform given descript mislead restaur pricey side,0
364,far away metro station transport offer pay 25 deposit night stay discuss book fact told us arriv check made us feel like  trust us felt like scam  clean entir stay,0
365, freez kept turn c central  liter slept jacket next even nice young man name tom came  went straight radiatior hidden turn known would lot happier first night,0
366,hair  sheet broken toilet flusher complain morn late got 2am didnt take serious,0
367,floor corridor make nois made wood,0
368,bath layout slightli tricki door open directli onto larg  cubicl meant realli squeez around get toilet,0
369,lack free park,0
370,old build qualiti main build,0
371,decor  abit tatti wallpap start peel wall,0
372,small  bath small lift  includ us step get lobbi level street,0
373,realis alcohol free  quit expens,0
374,qualiti food good,0
375, compact,0
376,far metro station collblanc  normal fc barcelona stadium 20 minut away internet speed fare actual wifi share  neighbor password secur network cant speak english well,0
377,babi  next door cri hour eventu got 1 30 rang recept sure quieter phone call,0
378,park pay 39 euro per day cannot enter exit leisur pay everi entranc exit would great  park facil,0
379,6 pm arriv went  still clean someon came clean,0
380,good,0
381,tea coffe make facil  pleas,0
382,narrow corridor  2 twin push togeth uncomfort middl recept area member  tabl laptop bit strang 10 min walk nearest tube station,0
383,bad wi fi connect small uncomfort  could breath chlorium smell pool vegan option ,0
384,tv internet extra pay seem crazi,0
385,mould bath wall bath enamel damag grout miss bath floor ould see bare concret servic bar poor portion fish poor sunday better tuesday,0
386,unfortun  show book com occident athenea mar paseo garcia faria howev sat nav list barcelona athenea mar passeig garcia faria find stress arriv barcelona first time car long drive,0
387,everyth great felt like someth miss say,0
388,far away metro station howev taxi milan cheap,0
389,expens surpris free wifi,0
390,noisey small ,0
391,air condit loud night got bit hot  expens lot local place choos,0
392,person like place autom check machin ok  hand assist prefer go desk someon check,0
393,free bottl water would nice 5 star  also tea make facil didnt pay,0
394,tini fridg could put person item touch anyth move sensor charg  doubl check bill  fix bill end howev realli realli would like put drink fridg,0
395,hang space cloth,0
396,doubl  realli b cupboard small,0
397,first visit  littl small prepar work much space put book laptop second visit let choos  wonder slight nois bath,0
398,leaki bath,0
399, face main road noisi tram pass front  also quit far centr tram take easili,0
400,spa appoint unreli therapist late go cut treatment time cancel therapi also  box strang musti smell dealt complet disappear,0
401,central shop tourist area,0
402,minor thing dust better clean ,0
403,disappoint could open  window c comfort pretti noisi properti need upgrad modernis attract look arriv experi much better,0
404, cut feel rest citi great busi travel nearbi meet  incred welcom,0
405, desk tri call thing unhelp actual rude,0
406,fit area partner  could date larger,0
407,poor internet  interest guest noisi next highway lift broken slow,0
408,air con work bit run clean properli  also comfort would rate  max 3 star,0
409,air condit need better control hot,0
410, good valu money,0
411, realli small ok floor 1st look shabbi need tlc side,0
412,chilli con carn revolt,0
413,coffe qualiti great,0
414, small unclean  sheet dirti cover hair  full dust need deep clean arriv even check told pay 50 deposit question receptionist rude us felt like inconveni guest bother pay  bread toaster cereal fruit worth money  way price surpris best western poor  gener,0
415,rather far citi center transport 25 min feet bathrob slipper hygen set teapot tea coffe sound train time old furnitur broken   prepar arriv wait 3 4 hour free wifi fact,0
416, brilliant kept ask tea thought overpr qualiti,0
417,cup  like mug plu would like hot chocol sachet well tea coffe,0
418, somewhat small even though front desk  told us got upgrad,0
419,price,0
420,hall elev area first impress need replac stain worn food option expens  none,0
421,faint smell water unavoid venic guess deoderiza  help,0
422,total impract  bath space toiletri nowher front mirror apart sit floor dri hair  big space constantli bump one paid upgrad,0
423, look smart onlin photo ,0
424, small expect pari issu,0
425, servic late,0
426,comfort  noisi surround,0
427,everyth ,0
428,fri egg store hot plate n time get sunni side dehydr harden poach also luggag servic avail,0
429,expect ,0
430, dark even light turn,0
431,bath need cabinet shelf cosmet,0
432,total power cut 5am left 8am notif  like note push door us walk recept ask singl member  go therefor  tri get readi use phone light ask refund told gm said refund recept  pass messag gm,0
433,mani corpor group use  facil,0
434,whole sorri experi,0
435,ground floor  bit noisi earli morn,0
436,easi maneuv street even use map somewhat tuck away thing,0
437,swim pool empti internet suck,0
438,size  4 way small request twin   space left  bath tight qualiti featur,0
439, littl cramp,0
440, small noisi second floor close club ,0
441, near fire door bang loudli earli morn wake us easi fix would think one small lift prove small problem  lot peopl move floor floor,0
442,quit noisi,0
443, comfort could feel almost everi spring move certainli experienc hilton ,0
444, better signag find ,0
445,lack car park guest,0
446,leav,0
447,crack sink crack tilein bath old dirti windown,0
448,ceil leak,0
449,bigger tv requir modernis ,0
450,turn thermostat low possibl  still hot,0
451,flicker light  dimmer problem fix bath light dim  dusti coach window old medicin alaminium paper toiletri bath abon arriv 1218  noisi infront servi door couldent sleep well mourn,0
452, would put ice cake small price pay stay fantast place,0
453,e mail use without consent contact promot materi complaint never receiv explan,0
454,smoke alarm start 2 30 morn cigar one  must find way check alarm start work,0
455,singl  back  face brick wall,0
456,old  noisi unstabl wifi  isol poor magnat key fail open door repeatedli rest 3 time recept shawer extrem small,0
457, littl basic fair price,0
458,receptionist attitud,0
459,major ripp charg everyth even though stay junior suit still pay extra  spa park etc,0
460,plug one side  bath wet   fan realli work minor detail,0
461, bit abrupt,0
462,kettl  feel bit inconveni,0
463,go home,0
464,n,0
465,thought  price bit high lower probabl would tri,0
466,air condit work,0
467, eager provid good servic special one guy recept alway grumpi ineffici,0
468, lobbi bar restaur area extrem hot would comfort cooler atmospher use  twice time need queue fair time book recept,0
469,  realli 4 star  standard,0
470,firmer  mayb,0
471,thought would easier find bit mislead call squar duomo also although  good drawer,0
472,air condition give effect cool,0
473,think may london thing judg review  corridor tini think small take away anoth foot  window close properli heat work bath empti took  date apart tv like us intend  much  adequ would stay free answer,0
474,plu side would air condit  except hot day visit ventil  poor,0
475,nois 6am,0
476,air condit  work  warm lack view,0
477,cleanli servic perfect,0
478,see inform connect wifi  bottl water  minor issu though,0
479,bath date much hot water one night  cosi  comfi matter,0
480,stair imac tv poor,0
481, expens option meant leav empti stomach,0
482,towel chang even though leav done  littl expens tremend choic,0
483,tri think thing honest everyth expect nice,0
484, littl bit dirti reciptoon guy chang  netter one apartmenta  5th elev plu intercom broken soo yuou need go upstair u got visit,0
485, buffet use  level price,0
486, buffet ok compar  calibr,0
487,special visit gave us appl orang banana dirti  sheet chang 3 day left fourth day mayb chang toilet fan work water come wall back  plumber need thing pick given  key bet bu load german tourist put  19 80 two brandi manag complain offer us upgrad next visit back,0
488,basic  firm  outdat  broken hairdryer,0
489, soft  ok expect better 4 star,0
490, nice build work loud nois,0
491,5 star  nespresso machin  day notabl omiss,0
492,ok fault,0
493,price vari much occas nightli rate except excess,0
494,would like  front,0
495,wish could stay longer,0
496, number 353 much need refurbish brown carpet ugli dirti look complet put also mattress lumpi grossli uncomfort obvious discard year ago matter fact unfortun experi person one could say equivel 2 star ,0
497,speed servic floor 18 bar,0
498,two  stabl drift apart cord hair dryer short,0
499, dirti dusti,0
500, way expens anyon stay day,0
501, much expens 17 euro,0
502,short staf  thing run quickli  run around tri keep,0
503,extra charg champagn fir  first day 2nd day,0
504,displeas wifi  complimentari result pay need loung make plan check email  mani stay recent inconveni wifi thought  would give better complimentari servic,0
505,price one night high even london,0
506,could run water night took age find come complain want bother chang  howev 3 restless night wish,0
507,2 minor complaint one elev extrem small big enough 2 3 peopl mean wait next one come someon luggag sinc would fit also taparello metal outdoor shutter  window necessari upper floor  overlook flat roof made  access window would prefer lower taparello  secur reason,0
508,could longer stay,0
509,get wifi,0
510,price food drink unreason exampl 8 euro half lager 28 euro  good valu money also select food avail poor,0
511,initi given  book got next day repack unpack twice,0
512,clean peopl bit pushi check 12 sinc 9 someon came 4 5 time ask still,0
513,free wifi guest  bit surpris,0
514,park alloc could manag better,0
